126: ( 0, 0) = 1
129: ( 2, 1) = 2
131: ( 4, 2) = 16
132: ( 6, 3) = 216
133: ( 8, 4) = 4096
134: ( 10, 5) = 100000
135: ( 12, 6) = 2.98598e+06
136: ( 14, 7) = 1.05414e+08
137: ( 16, 8) = 4.29497e+09
138: ( 18, 9) = 1.98359e+11
139: ( 20, 10) = 1.024e+13
140: ( 22, 11) = 5.84318e+14
141: ( 24, 12) = 3.65203e+16
142: ( 26, 13) = 2.48115e+18
143: ( 28, 14) = 1.82059e+20
144: ( 30, 15) = 1.43489e+22
145: ( 32, 16) = 1.20893e+24
170: ( 34, 17) = 1.08428e+26
182: ( 36, 18) = 1.03144e+28
183: ( 38, 19) = 1.03726e+30
184: ( 40, 20) = 1.09951e+32
191: ( 42, 21) = 1.22528e+34
193: ( 44, 22) = 1.43205e+36
194: ( 46, 23) = 1.75158e+38
198: ( 48, 24) = 2.23764e+40
200: ( 50, 25) = 2.98023e+42
201: ( 52, 26) = 4.1313e+44
207: ( 54, 27) = 5.95157e+46
209: ( 56, 28) = 8.89743e+48
210: ( 58, 29) = 1.37852e+51
211: ( 60, 30) = 2.21074e+53
212: ( 62, 31) = 3.66558e+55
213: ( 64, 32) = 6.2771e+57
214: ( 66, 33) = 1.10905e+60
216: ( 68, 34) = 2.01978e+62
218: ( 70, 35) = 3.78819e+64
220: ( 72, 36) = 7.31088e+66
264: ( 74, 37) = 1.45069e+69
271: ( 76, 38) = 2.95744e+71
272: ( 78, 39) = 6.18998e+73
273: ( 80, 40) = 1.32923e+76
274: ( 82, 41) = 2.92663e+78
275: ( 84, 42) = 6.60283e+80
278: ( 86, 43) = 1.52557e+83
280: ( 88, 44) = 3.60776e+85
281: ( 90, 45) = 8.72796e+87
282: ( 92, 46) = 2.15894e+90
283: ( 94, 47) = 5.45769e+92
284: ( 96, 48) = 1.40935e+95
285: ( 98, 49) = 3.71602e+97
286: ( 100, 50) = 1e+100
287: ( 102, 51) = 2.74542e+102
289: ( 104, 52) = 7.68659e+104
290: ( 106, 53) = 2.19387e+107
291: ( 108, 54) = 6.38091e+109
292: ( 110, 55) = 1.89059e+112
293: ( 112, 56) = 5.70439e+114
294: ( 114, 57) = 1.75217e+117
296: ( 116, 58) = 5.47726e+119
297: ( 118, 59) = 1.74196e+122
299: ( 120, 60) = 5.63475e+124
301: ( 122, 61) = 1.85332e+127
302: ( 124, 62) = 6.19647e+129
304: ( 126, 63) = 2.10545e+132
306: ( 128, 64) = 7.26839e+134
313: ( 130, 65) = 2.5487e+137
314: ( 132, 66) = 9.07569e+139
315: ( 134, 67) = 3.28112e+142
316: ( 136, 68) = 1.20405e+145
317: ( 138, 69) = 4.48391e+147
318: ( 140, 70) = 1.69419e+150
319: ( 142, 71) = 6.4934e+152
320: ( 144, 72) = 2.52406e+155
321: ( 146, 73) = 9.94852e+157
322: ( 148, 74) = 3.97527e+160
323: ( 150, 75) = 1.61007e+163
324: ( 152, 76) = 6.60865e+165
328: ( 154, 77) = 2.7485e+168
329: ( 156, 78) = 1.15803e+171
330: ( 158, 79) = 4.94208e+173
331: ( 160, 80) = 2.13599e+176
332: ( 162, 81) = 9.34795e+178
333: ( 164, 82) = 4.14186e+181
334: ( 166, 83) = 1.85768e+184
348: ( 168, 84) = 8.43295e+186
352: ( 170, 85) = 3.87399e+189
353: ( 172, 86) = 1.80072e+192
354: ( 174, 87) = 8.46807e+194
358: ( 176, 88) = 4.02823e+197
359: ( 178, 89) = 1.93812e+200
360: ( 180, 90) = 9.4303e+202
372: ( 182, 91) = 4.63977e+205
434: ( 184, 92) = 2.30802e+208
435: ( 186, 93) = 1.16066e+211
436: ( 188, 94) = 5.89981e+213
437: ( 190, 95) = 3.03104e+216
438: ( 192, 96) = 1.57369e+219
439: ( 194, 97) = 8.25596e+221
454: ( 196, 98) = 4.37618e+224
464: ( 198, 99) = 2.34344e+227
467: ( 200, 100) = 1.26765e+230
469: ( 202, 101) = 6.92609e+232
470: ( 204, 102) = 3.82188e+235
471: ( 206, 103) = 2.12973e+238
472: ( 208, 104) = 1.19836e+241
473: ( 210, 105) = 6.8081e+243
474: ( 212, 106) = 3.90482e+246
475: ( 214, 107) = 2.26086e+249
476: ( 216, 108) = 1.32131e+252
477: ( 218, 109) = 7.79395e+254
478: ( 220, 110) = 4.63975e+257
479: ( 222, 111) = 2.78728e+260
480: ( 224, 112) = 1.68958e+263
